10.203.114.212,0
10.203.64.1,0
10.255.254.1,0
10.0.96.1,0
202.119.26.82,1
202.112.53.133,1
121.194.14.130,1
121.194.14.142,1
211.65.207.77,1
101.4.116.218,1
101.4.117.25,1
101.4.112.61,1
101.4.117.38,1
101.4.117.146,1
121.194.14.2,1
121.194.14.21,1
202.119.32.7,1
58.213.113.65,1
218.2.131.81,1
218.2.134.77,1
202.97.85.1,1
220.181.16.58,1
220.181.16.98,1
220.181.17.90,1
220.181.38.149,1
101.4.116.105,1
101.4.112.42,1
101.4.115.173,1
101.4.113.190,1
219.224.102.134,1
101.4.128.134,1
119.3.32.96,1
211.65.207.73,1
101.4.112.65,1
101.4.112.1,1
101.4.113.109,1
101.4.116.6,1
202.97.88.229,1
220.181.16.18,1
36.110.244.214,1
36.110.142.146,1
103.15.99.97,1
221.231.175.197,1
218.2.182.29,1
202.97.79.78,1
221.238.7.74,1
123.150.32.110,1
123.151.137.18,1
202.119.24.205,1
221.226.200.50,1
218.2.119.194,1
222.190.243.114,1
221.231.175.193,1
222.190.59.157,1
202.97.90.122,1
61.137.10.94,1
222.241.63.90,1
222.241.34.98,1
218.75.141.157,1
